2, 12626, Note_off_c, 0, 75, 64
2, 12630, Note_on_c, 0, 77, 56
2, 12686, Note_on_c, 0, 75, 43
2, 12701, Note_on_c, 0, 53, 49
2, 12709, Note_off_c, 0, 77, 64
2, 12715, Note_on_c, 0, 58, 46
2, 12745, Note_on_c, 0, 65, 46
2, 12745, Note_on_c, 0, 62, 21
2, 12754, Note_on_c, 0, 74, 60
2, 12760, Note_on_c, 0, 70, 39
2, 12768, Note_off_c, 0, 75, 64
2, 12787, Control_c, 0, 64, 0
2, 12787, Control_c, 0, 64, 0
2, 12792, Note_off_c, 0, 53, 64
2, 12810, Note_off_c, 0, 46, 64
2, 12810, Control_c, 0, 64, 127
2, 12810, Control_c, 0, 64, 127
2, 12825, Note_off_c, 0, 58, 64
2, 12826, Note_off_c, 0, 62, 64
2, 12859, Note_off_c, 0, 65, 64
2, 12957, Note_off_c, 0, 70, 64
2, 13146, Note_off_c, 0, 74, 64
2, 13156, Note_on_c, 0, 41, 73
2, 13163, Note_on_c, 0, 65, 69
2, 13170, Control_c, 0, 64, 0
2, 13170, Control_c, 0, 64, 0
2, 13203, Control_c, 0, 64, 127
2, 13203, Control_c, 0, 64, 127
2, 13349, Note_on_c, 0, 67, 53
2, 13356, Note_on_c, 0, 53, 34
2, 13357, Note_on_c, 0, 63, 47
2, 13359, Note_on_c, 0, 58, 45
2, 13363, Control_c, 0, 64, 0
2, 13363, Control_c, 0, 64, 0
2, 13380, Control_c, 0, 64, 127
2, 13380, Control_c, 0, 64, 127
2, 13388, Note_off_c, 0, 65, 64
2, 13426, Note_off_c, 0, 67, 64
2, 13426, Note_on_c, 0, 69, 50
2, 13437, Note_off_c, 0, 53, 64
2, 13438, Note_off_c, 0, 63, 64
2, 13440, Note_off_c, 0, 58, 64
2, 13470, Note_on_c, 0, 67, 54
2, 13497, Note_off_c, 0, 69, 64
2, 13524, Note_on_c, 0, 53, 53
2, 13526, Note_on_c, 0, 63, 53
2, 13532, Note_on_c, 0, 65, 60
2, 13532, Note_on_c, 0, 57, 52
2, 13532, Control_c, 0, 64, 0
2, 13532, Control_c, 0, 64, 0
2, 13542, Note_off_c, 0, 67, 64
2, 13549, Control_c, 0, 64, 127
2, 13549, Control_c, 0, 64, 127
2, 13605, Note_off_c, 0, 53, 64
2, 13607, Note_off_c, 0, 63, 64
2, 13613, Note_off_c, 0, 57, 64
2, 13689, Note_on_c, 0, 58, 58
2, 13693, Note_on_c, 0, 67, 65
2, 13696, Note_on_c, 0, 53, 41
2, 13699, Note_on_c, 0, 63, 49
2, 13728, Note_off_c, 0, 65, 64
2, 13749, Note_on_c, 0, 69, 52
2, 13756, Note_off_c, 0, 67, 64
2, 13770, Note_off_c, 0, 58, 64
2, 13777, Note_off_c, 0, 53, 64
2, 13780, Note_off_c, 0, 63, 64
2, 13797, Note_on_c, 0, 67, 54
2, 13824, Note_off_c, 0, 69, 64
2, 13848, Note_on_c, 0, 63, 49
2, 13854, Note_on_c, 0, 65, 58
2, 13860, Note_off_c, 0, 67, 64
2, 13861, Note_on_c, 0, 53, 43
2, 13866, Note_on_c, 0, 57, 38
2, 13919, Note_off_c, 0, 41, 64
2, 13929, Note_off_c, 0, 63, 64
2, 13942, Note_off_c, 0, 53, 64
2, 13947, Note_off_c, 0, 57, 64
2, 14006, Note_off_c, 0, 65, 64
2, 14024, Note_on_c, 0, 75, 49
2, 14030, Note_on_c, 0, 67, 38
2, 14037, Note_on_c, 0, 57, 52
2, 14046, Note_on_c, 0, 53, 27
2, 14052, Control_c, 0, 64, 0
2, 14052, Control_c, 0, 64, 0
2, 14063, Control_c, 0, 64, 127
2, 14063, Control_c, 0, 64, 127
2, 14118, Note_off_c, 0, 57, 64
2, 14127, Note_off_c, 0, 53, 64
2, 14211, Note_on_c, 0, 57, 47
2, 14213, Note_on_c, 0, 74, 43
2, 14213, Note_on_c, 0, 65, 58
2, 14217, Note_on_c, 0, 53, 43
2, 14221, Note_off_c, 0, 67, 64
2, 14224, Note_off_c, 0, 75, 64
2, 14232, Control_c, 0, 64, 0
2, 14232, Control_c, 0, 64, 0
2, 14245, Control_c, 0, 64, 127
2, 14245, Control_c, 0, 64, 127
2, 14273, Note_on_c, 0, 75, 53
2, 14290, Note_off_c, 0, 74, 64
2, 14292, Note_off_c, 0, 57, 64
2, 14298, Note_off_c, 0, 53, 64
2, 14332, Note_on_c, 0, 74, 38
2, 14345, Note_off_c, 0, 75, 64
2, 14379, Note_on_c, 0, 73, 63
2, 14384, Note_on_c, 0, 53, 39
2, 14393, Note_on_c, 0, 57, 53
2, 14393, Control_c, 0, 64, 0
2, 14393, Control_c, 0, 64, 0
2, 14404, Note_off_c, 0, 65, 64
2, 14404, Note_on_c, 0, 64, 31
2, 14422, Note_off_c, 0, 74, 64
2, 14423, Control_c, 0, 64, 127
2, 14423, Control_c, 0, 64, 127
2, 14465, Note_off_c, 0, 53, 64
2, 14474, Note_off_c, 0, 57, 64
2, 14545, Note_on_c, 0, 63, 45
2, 14558, Note_on_c, 0, 53, 27
2, 14566, Note_on_c, 0, 57, 36
2, 14595, Note_off_c, 0, 64, 64
2, 14639, Note_off_c, 0, 53, 64
2, 14647, Note_off_c, 0, 57, 64
2, 14654, Note_on_c, 0, 72, 54
2, 14686, Note_off_c, 0, 73, 64
2, 14729, Note_off_c, 0, 72, 64
2, 14736, Note_off_c, 0, 63, 64
2, 14757, Note_on_c, 0, 46, 56
2, 14763, Note_on_c, 0, 72, 54
2, 14841, Note_off_c, 0, 72, 64
2, 14849, Note_on_c, 0, 74, 34
2, 14900, Note_on_c, 0, 72, 49
2, 14921, Note_off_c, 0, 74, 64
2, 14940, Note_on_c, 0, 62, 38
2, 14940, Note_on_c, 0, 58, 27
2, 14946, Note_on_c, 0, 53, 30
2, 14949, Note_on_c, 0, 70, 67
2, 14969, Note_off_c, 0, 72, 64
