0, Program_c, 0
9844, Note_off_c, 49, 64
9878, Note_off_c, 61, 64
9880, Note_off_c, 65, 64
10027, Note_on_c, 54, 28
10032, Note_on_c, 71, 55
10032, Note_on_c, 66, 44
10045, Note_on_c, 62, 36
10059, Control_c, 64, 0
10059, Control_c, 64, 0
10062, Note_off_c, 73, 64
10092, Control_c, 64, 127
10092, Control_c, 64, 127
10140, Note_off_c, 71, 64
10146, Note_on_c, 69, 54
10146, Note_on_c, 61, 44
10202, Note_off_c, 62, 64
10227, Note_off_c, 66, 64
10229, Note_on_c, 68, 55
10235, Note_off_c, 69, 64
10238, Note_on_c, 59, 44
10250, Note_off_c, 61, 64
10328, Note_on_c, 66, 53
10338, Note_on_c, 57, 41
10342, Note_off_c, 68, 64
10349, Note_off_c, 59, 64
10349, Control_c, 64, 0
10349, Control_c, 64, 0
10423, Control_c, 64, 127
10423, Control_c, 64, 127
10502, Note_off_c, 66, 64
10538, Note_off_c, 54, 64
10618, Note_off_c, 57, 64
10662, Control_c, 64, 0
10662, Control_c, 64, 0
10668, Note_on_c, 66, 65
10701, Control_c, 64, 127
10701, Control_c, 64, 127
10912, Note_on_c, 37, 57
10927, Control_c, 64, 0
10927, Control_c, 64, 0
10953, Control_c, 64, 127
10953, Control_c, 64, 127
11041, Note_on_c, 68, 48
11050, Note_off_c, 66, 64
11076, Note_on_c, 66, 66
11091, Note_off_c, 68, 64
11113, Note_on_c, 65, 58
11120, Note_on_c, 49, 37
11123, Note_off_c, 37, 64
11127, Note_on_c, 59, 40
11129, Note_off_c, 66, 64
11138, Control_c, 64, 0
11138, Control_c, 64, 0
11173, Control_c, 64, 127
11173, Control_c, 64, 127
11189, Note_off_c, 59, 64
11194, Note_off_c, 49, 64
11218, Note_on_c, 66, 55
11221, Note_off_c, 65, 64
11320, Note_on_c, 68, 63
11324, Note_on_c, 49, 55
11327, Note_off_c, 66, 64
11331, Control_c, 64, 0
11331, Control_c, 64, 0
11336, Note_on_c, 53, 36
11340, Note_on_c, 59, 29
11356, Control_c, 64, 127
11356, Control_c, 64, 127
11366, Note_off_c, 59, 64
11366, Note_off_c, 53, 64
11392, Note_off_c, 49, 64
11468, Note_on_c, 62, 48
11481, Note_off_c, 68, 64
11515, Note_on_c, 61, 59
11520, Note_on_c, 42, 49
11525, Control_c, 64, 0
11525, Control_c, 64, 0
11546, Note_off_c, 62, 64
11580, Control_c, 64, 127
11580, Control_c, 64, 127
11673, Note_on_c, 66, 52
11690, Note_off_c, 61, 64
11708, Note_on_c, 61, 55
11712, Note_on_c, 54, 58
11713, Note_on_c, 69, 66
11713, Control_c, 64, 0
11713, Control_c, 64, 0
11731, Note_off_c, 42, 64
11742, Note_off_c, 66, 64
11752, Note_off_c, 61, 64
11756, Note_off_c, 54, 64
11828, Control_c, 64, 127
11828, Control_c, 64, 127
11912, Note_off_c, 69, 64
11940, Note_on_c, 69, 70
11940, Note_on_c, 61, 49
11945, Note_on_c, 66, 70
